user_id,transaction_amount,transaction_hour,transaction_frequency,unusual_location,account_age_days,login_frequency,support_contacts,notifications_opted_out,payment_method,fraud_risk,churn_risk
USR_0107,44.27256496792933,10,7,0,3011,24,0,0,mobile_payment,0,0
USR_0108,215.36149228048623,18,9,0,577,23,0,0,credit_card,0,0
USR_0109,295.6731766722301,18,4,0,2161,34,0,0,mobile_payment,0,0
USR_0110,82.06425322966827,13,1,0,2618,9,8,1,credit_card,0,1
USR_0111,385.06178620493813,12,6,0,928,5,4,0,mobile_payment,0,1
USR_0112,374.67527663424704,15,2,0,3563,6,4,1,credit_card,0,1
USR_0113,452.6370967163294,15,4,1,193,24,0,0,credit_card,0,0
USR_0114,14.15814592088708,16,8,0,1373,36,0,0,credit_card,0,0
USR_0115,116.17527955461131,17,0,0,2336,19,1,0,mobile_payment,0,0
USR_0116,415.3214899802077,18,1,0,2033,18,0,0,credit_card,0,0
USR_0117,338.58422490519837,13,4,0,2270,12,1,0,mobile_payment,0,0
USR_0118,448.2510283122605,22,3,1,3052,33,0,0,bank_transfer,0,0
USR_0119,38.01803071983059,19,0,0,2585,10,1,0,mobile_payment,0,0
USR_0120,302.512343201057,22,6,0,654,47,0,0,bank_transfer,0,0
USR_0121,288.83282169790033,21,8,0,1278,15,0,0,mobile_payment,0,0
USR_0122,27.48046401666086,14,0,0,2130,7,4,1,bank_transfer,0,1
USR_0123,261.6258176871169,15,7,0,3558,13,1,0,credit_card,0,0
USR_0124,308.6649525418629,14,8,0,2732,12,1,0,bank_transfer,0,0
USR_0125,103.73365535903254,6,1,0,3062,3,7,1,bank_transfer,0,1
USR_0126,143.93149573108485,8,0,0,1076,45,0,0,credit_card,0,0
USR_0127,323.77019968589116,16,5,0,2307,32,0,1,bank_transfer,0,0
USR_0128,239.46746432397958,12,6,0,1887,16,0,0,mobile_payment,0,0
USR_0129,430.4266922084801,18,1,0,2190,41,1,0,mobile_payment,0,0
USR_0130,177.7670653445023,21,4,0,673,3,9,1,bank_transfer,0,1
USR_0131,140.66323261021856,21,4,0,2031,46,1,0,bank_transfer,0,0
USR_0132,492.58431076897295,15,6,0,1462,42,1,0,mobile_payment,0,0
USR_0133,456.45652736374086,14,0,0,2731,35,0,0,mobile_payment,0,0
USR_0134,24.206445049500132,13,9,0,3579,40,0,0,bank_transfer,0,0
USR_0135,387.6570215002173,8,7,0,2853,1,4,1,credit_card,0,1
USR_0136,64.06403917434945,14,4,0,1027,32,0,0,credit_card,0,0
USR_0137,23.46774546639177,7,2,0,2338,38,1,0,mobile_payment,0,0
USR_0138,144.11080282351097,13,8,0,2025,17,1,0,credit_card,0,0
USR_0139,141.9794807399411,13,2,0,1717,25,0,0,bank_transfer,0,0
USR_0140,2990.4330252367736,0,13,1,35,9,6,1,mobile_payment,1,1
USR_0141,643.3554313771704,0,11,1,68,13,1,0,credit_card,1,0
USR_0142,490.988619392687,15,6,0,2474,28,0,0,credit_card,0,0
USR_0143,358.641321152791,20,9,0,3472,48,0,0,credit_card,0,0
USR_0144,214.94522109546347,9,7,0,2834,22,0,0,mobile_payment,0,0
USR_0145,352.47455386315625,8,9,0,925,21,1,0,bank_transfer,0,0
USR_0146,499.73494292133705,14,7,0,3566,7,8,1,bank_transfer,0,1
USR_0147,357.96952245563875,21,3,0,1598,21,1,0,mobile_payment,0,0
USR_0148,383.22386443035595,21,0,0,1683,6,3,0,credit_card,0,1
USR_0149,469.7988574432271,20,3,0,1227,22,1,0,bank_transfer,0,0
USR_0150,65.68911804272484,14,5,1,1875,44,1,0,credit_card,0,0
USR_0151,355.3443037893862,22,9,0,3069,41,1,0,bank_transfer,0,0
USR_0152,426.89491940405,17,5,0,873,47,0,0,bank_transfer,0,0
USR_0153,477.6455141082376,13,5,0,420,7,5,0,bank_transfer,0,1
USR_0154,113.3749519587327,19,6,0,875,11,1,0,credit_card,0,0
USR_0155,4080.118264440273,0,12,1,128,30,0,0,credit_card,1,0
USR_0156,343.4718753457961,19,9,0,3082,40,0,0,credit_card,0,0
USR_0157,131.25918745565536,10,0,0,2580,44,1,0,credit_card,0,0
USR_0158,304.23170299263427,6,6,0,3601,25,1,0,credit_card,0,0
USR_0159,136.2136034240197,18,3,0,273,49,0,0,mobile_payment,0,0
USR_0160,173.39394006050716,19,5,0,3578,35,1,1,bank_transfer,0,0
USR_0161,226.34416129032388,7,5,0,1923,47,1,0,bank_transfer,0,0
USR_0162,269.3031483858178,21,8,0,232,12,1,0,mobile_payment,0,0
USR_0163,230.18927709632382,10,1,0,549,46,0,0,bank_transfer,0,0
USR_0164,251.6658046960853,6,3,0,3345,45,0,1,mobile_payment,0,0
USR_0165,156.30849058126338,17,3,0,2837,47,1,0,mobile_payment,0,0
USR_0166,87.89289607108898,15,6,0,1648,7,4,1,mobile_payment,0,1
USR_0167,33.201488890151325,17,0,0,2857,31,0,0,bank_transfer,0,0
USR_0168,106.02957402091717,21,4,0,3541,12,0,0,mobile_payment,0,0
USR_0169,295.15238433783367,22,3,0,2032,49,1,0,bank_transfer,0,0
USR_0170,395.19656942353487,18,1,0,2585,35,1,0,credit_card,0,0
USR_0171,92.93132274701831,12,4,0,2288,36,1,0,credit_card,0,0
USR_0172,63.192125308597745,8,8,0,1455,47,1,0,mobile_payment,0,0
USR_0173,377.1522766691326,10,7,0,939,17,1,0,mobile_payment,0,0
USR_0174,159.52758196327196,9,8,0,955,32,1,0,credit_card,0,0
USR_0175,476.2347252214027,20,6,0,745,15,1,0,credit_card,0,0
USR_0176,360.0158055990828,22,9,0,1384,4,6,1,credit_card,0,1
USR_0177,170.11046314908512,17,6,0,3399,1,6,1,mobile_payment,0,1
USR_0178,151.87594641891542,19,1,0,1249,35,1,0,credit_card,0,0
USR_0179,266.6122092729414,9,2,0,1321,24,0,0,mobile_payment,0,0
USR_0180,48.78088745632262,22,9,0,3344,6,9,1,mobile_payment,0,1
USR_0181,67.66149119619651,16,7,0,1746,49,1,0,mobile_payment,0,0
USR_0182,96.17036184493433,11,1,0,3464,8,9,0,bank_transfer,0,1
USR_0183,389.6145607192345,9,6,0,2381,23,1,0,mobile_payment,0,0
USR_0184,261.79010604187,18,5,0,2706,1,3,1,credit_card,0,1
USR_0185,15.177890159477041,20,9,0,1095,35,0,0,credit_card,0,0
USR_0186,340.0230984613334,22,3,1,457,8,9,1,mobile_payment,0,1
USR_0187,217.60818754364357,15,3,0,1516,22,0,0,bank_transfer,0,0
USR_0188,260.317658832261,10,2,0,620,17,0,0,bank_transfer,0,0
USR_0189,114.91695927233842,17,5,0,2843,1,9,1,mobile_payment,0,1
USR_0190,280.3732919131108,20,2,0,1357,35,0,0,bank_transfer,0,0
USR_0191,489.7850874782294,9,8,0,3084,39,1,0,mobile_payment,0,0
USR_0192,45.987898592823115,13,3,1,2072,49,1,0,credit_card,0,0
USR_0193,149.119525835571,22,3,0,2382,22,1,0,bank_transfer,0,0
USR_0194,129.0688205018066,11,1,0,2038,3,9,1,mobile_payment,0,1
USR_0195,131.789162268078,21,1,1,1995,20,0,0,bank_transfer,0,0
USR_0196,195.56611520703487,10,6,0,1740,11,0,1,bank_transfer,0,0
USR_0197,410.8737945246421,19,4,0,3109,39,0,0,bank_transfer,0,0
USR_0198,457.3007580825498,7,2,0,1981,33,1,1,credit_card,0,0
USR_0199,109.08539285489692,22,5,0,3031,27,1,0,credit_card,0,0
USR_0200,276.04546959457525,11,5,0,1840,32,0,1,bank_transfer,0,0
USR_0201,322.08049636108535,16,0,0,1604,15,1,0,credit_card,0,0
USR_0202,265.69546243828404,7,2,0,2177,1,3,1,credit_card,0,1
USR_0203,222.69743315649058,6,4,0,2541,16,0,0,bank_transfer,0,0
USR_0204,104.06799787102653,10,6,1,1798,42,1,0,bank_transfer,0,0
USR_0205,249.22748600762688,13,3,0,773,4,3,0,bank_transfer,0,1
USR_0206,206.59526557855116,9,7,0,2250,30,1,1,mobile_payment,0,0
USR_0207,399.82604762611214,10,2,0,827,8,8,1,credit_card,0,1
USR_0208,384.16613598986766,10,5,0,1509,39,1,0,mobile_payment,0,0
USR_0209,75.65935379077865,21,5,0,1603,9,4,1,mobile_payment,0,1
USR_0210,53.37433575590311,16,8,1,2828,34,0,0,mobile_payment,0,0
USR_0211,454.9954321814765,22,3,0,2014,9,7,1,credit_card,0,1
USR_0212,272.3991105926039,8,6,0,3603,21,1,1,bank_transfer,0,0
USR_0213,430.3224592684694,9,9,0,1060,16,1,0,credit_card,0,0
USR_0214,38.49404907753656,14,0,0,3109,43,0,1,bank_transfer,0,0
USR_0215,267.9926520955988,10,0,0,1414,12,1,0,mobile_payment,0,0
USR_0216,274.3189921423558,9,1,0,1797,15,1,0,mobile_payment,0,0
USR_0217,431.74399594565347,21,3,0,2323,36,0,0,mobile_payment,0,0
USR_0218,57.82889913255668,15,5,0,1761,28,0,0,mobile_payment,0,0
USR_0219,127.81832620119556,14,3,0,1636,17,1,0,mobile_payment,0,0
USR_0220,209.20377380463643,21,5,1,1563,45,0,0,bank_transfer,0,0
USR_0221,434.26232295577165,22,1,0,3010,48,0,0,mobile_payment,0,0
USR_0222,470.05282438457783,20,8,0,1252,45,0,0,mobile_payment,0,0
USR_0223,496.4350636008777,14,2,0,3472,27,1,0,bank_transfer,0,0
USR_0224,480.00480836467557,11,6,0,2963,16,1,0,credit_card,0,0
USR_0225,12.911460363733662,11,0,1,3257,10,1,1,mobile_payment,0,0
USR_0226,33.3770873123973,16,7,0,1258,14,0,0,bank_transfer,0,0
USR_0227,3680.557269785665,2,17,1,18,23,0,0,mobile_payment,1,0
USR_0228,180.94242741743383,17,4,0,2179,3,3,1,bank_transfer,0,1
USR_0229,416.65983518360974,20,6,0,3071,21,1,0,credit_card,0,0
USR_0230,447.40153571438543,12,2,0,3266,28,0,0,mobile_payment,0,0
USR_0231,101.54885908434568,20,8,1,702,11,0,1,mobile_payment,0,0
USR_0232,313.6354342936572,13,8,0,1586,23,0,0,credit_card,0,0
USR_0233,459.5073726819855,14,7,0,3418,12,1,1,credit_card,0,0
USR_0234,237.22855060634717,20,0,0,1579,44,0,0,credit_card,0,0
USR_0235,60.73635025686414,21,1,0,1277,22,1,1,bank_transfer,0,0
USR_0236,234.32868854146622,8,1,0,998,12,1,0,mobile_payment,0,0
USR_0237,194.13950212114804,10,2,0,1880,23,0,1,bank_transfer,0,0
USR_0238,293.0524180723434,8,1,0,2148,43,1,0,credit_card,0,0
USR_0239,224.9427553594808,7,0,0,3436,18,1,0,mobile_payment,0,0
USR_0240,18.49950415832179,7,4,0,267,19,1,1,credit_card,0,0
USR_0241,497.05888937269884,9,5,0,1958,9,3,1,credit_card,0,1
USR_0242,1463.032009282434,2,45,1,134,38,1,1,bank_transfer,1,0
USR_0243,242.07907018745868,14,9,0,1268,48,1,0,bank_transfer,0,0
USR_0244,477.7625120369865,17,6,0,2209,6,7,1,mobile_payment,0,1
USR_0245,86.37158011766779,14,1,0,1476,32,0,0,bank_transfer,0,0
USR_0246,102.72642524717163,17,6,0,2418,17,1,0,mobile_payment,0,0
USR_0247,405.9272270407639,21,1,0,833,49,0,0,credit_card,0,0
USR_0248,4042.966268558279,4,27,0,99,4,7,0,mobile_payment,1,1
USR_0249,4928.742317674467,1,28,1,37,32,1,0,credit_card,1,0
USR_0250,143.05140662516624,15,5,0,844,45,0,0,bank_transfer,0,0
USR_0251,26.26193881025073,9,7,0,2607,29,0,0,credit_card,0,0
USR_0252,263.33721470449086,16,4,0,2264,5,8,1,bank_transfer,0,1
USR_0253,106.37635272216207,16,4,0,918,45,0,1,mobile_payment,0,0
USR_0254,381.34468353691085,16,9,0,3179,18,1,0,mobile_payment,0,0
USR_0255,324.18782028375256,11,0,0,1455,3,6,1,mobile_payment,0,1
USR_0256,462.56530730917973,20,3,0,3386,15,1,0,credit_card,0,0
USR_0257,393.6642950602106,7,0,0,190,41,0,0,bank_transfer,0,0
USR_0258,98.58021787195615,8,9,0,3453,10,1,0,mobile_payment,0,0
USR_0259,402.0775359657502,10,4,0,513,33,1,1,credit_card,0,0
USR_0260,324.4511519588714,16,7,0,2646,1,3,1,credit_card,0,1
USR_0261,337.7863044627062,17,0,0,2465,17,1,0,credit_card,0,0
USR_0262,3560.493642949748,5,42,1,16,1,4,1,mobile_payment,1,1
USR_0263,291.1737939025807,14,0,0,1623,34,0,0,credit_card,0,0
USR_0264,238.34172203297632,8,5,0,2535,38,0,0,bank_transfer,0,0
USR_0265,321.9541073257767,7,9,0,760,5,6,1,bank_transfer,0,1
USR_0266,155.99914018959595,11,0,0,349,36,0,0,mobile_payment,0,0
USR_0267,99.47259423267866,11,9,0,1786,35,1,0,credit_card,0,0
USR_0268,312.12804065491076,22,2,0,3400,29,0,0,mobile_payment,0,0
USR_0269,124.58570085188407,13,4,0,1704,7,4,1,credit_card,0,1
USR_0270,49.1584035798373,6,4,0,2821,31,1,0,mobile_payment,0,0
USR_0271,10.271550446774418,13,1,0,1716,16,1,0,mobile_payment,0,0
USR_0272,308.0765066860329,20,2,0,2679,27,0,0,bank_transfer,0,0
USR_0273,187.45290390531605,18,8,0,701,19,1,0,credit_card,0,0
USR_0274,378.6323756299934,13,0,0,1120,40,1,0,bank_transfer,0,0
USR_0275,193.8364351734202,18,0,1,619,35,0,0,bank_transfer,0,0
USR_0276,248.1416896367311,19,1,0,2226,35,0,0,credit_card,0,0
USR_0277,209.47163667953862,20,7,0,2374,34,1,0,mobile_payment,0,0
USR_0278,328.7816476435796,11,5,0,1065,27,0,0,credit_card,0,0
USR_0279,184.50818938733443,6,3,0,477,1,3,1,credit_card,0,1
USR_0280,482.2461484717314,12,6,0,2597,24,1,0,bank_transfer,0,0
USR_0281,468.71202343327974,6,5,0,3036,7,9,1,bank_transfer,0,1
USR_0282,425.5336723020679,20,8,0,1073,34,1,0,credit_card,0,0
USR_0283,460.94713258064655,11,5,0,3484,44,1,0,credit_card,0,0
USR_0284,230.07844734510158,10,1,0,839,4,3,1,mobile_payment,0,1
USR_0285,272.85089442685114,17,2,0,303,49,1,0,bank_transfer,0,0
USR_0286,373.6253703535398,8,8,0,427,47,0,0,bank_transfer,0,0
USR_0287,351.11150321988515,19,6,0,1665,6,9,0,bank_transfer,0,1
USR_0288,446.4325118466807,11,5,0,1585,10,0,0,credit_card,0,0
USR_0289,361.0022033557807,9,4,0,3349,35,0,0,credit_card,0,0
USR_0290,498.96350703194565,20,2,0,3187,19,1,0,mobile_payment,0,0
USR_0291,180.76784191747961,22,3,0,1309,35,0,0,bank_transfer,0,0
USR_0292,418.1688936973148,10,0,0,3109,11,0,0,bank_transfer,0,0
USR_0293,351.8410631880055,11,4,0,857,49,1,0,mobile_payment,0,0
USR_0294,348.7793581553591,15,6,0,1653,23,1,0,mobile_payment,0,0
USR_0295,169.65944147404946,14,1,0,3364,42,1,0,mobile_payment,0,0
USR_0296,394.944878287281,9,7,0,2797,48,0,1,bank_transfer,0,0
USR_0297,451.1842509503236,14,9,0,2707,10,0,0,bank_transfer,0,0
USR_0298,117.08874614507585,13,5,0,3109,39,0,0,bank_transfer,0,0
USR_0299,316.49345018718503,8,9,0,648,46,0,0,bank_transfer,0,0
USR_0300,202.14606626035985,6,2,0,2593,27,0,0,mobile_payment,0,0
USR_0301,494.87857845448974,10,1,0,2985,39,0,0,mobile_payment,0,0
USR_0302,244.62807975752398,8,7,0,3006,36,1,0,mobile_payment,0,0
USR_0303,121.87688516050191,9,3,0,1105,39,1,0,bank_transfer,0,0
USR_0304,197.11023635869793,20,6,0,2163,5,8,1,mobile_payment,0,1
USR_0305,330.38081101014683,21,6,0,2098,30,1,0,bank_transfer,0,0
USR_0306,3758.9221076376652,3,21,1,56,25,1,0,mobile_payment,1,0
USR_0307,305.7649409084064,19,8,0,3427,26,1,0,mobile_payment,0,0
USR_0308,466.30013199766,10,9,0,3547,27,0,0,credit_card,0,0
USR_0309,426.6777659523467,6,7,0,2321,2,4,1,bank_transfer,0,1
USR_0310,43.16003296241185,10,7,0,534,3,3,0,bank_transfer,0,1
USR_0311,496.7610405821434,8,6,0,1271,21,1,1,credit_card,0,0
USR_0312,352.3761926149008,22,9,0,2376,40,1,0,credit_card,0,0
USR_0313,89.51760391387161,12,4,0,2232,2,9,1,bank_transfer,0,1
USR_0314,740.9509290170371,1,15,1,22,8,8,1,credit_card,1,1
USR_0315,93.92849178315416,18,6,0,1879,24,0,0,bank_transfer,0,0
USR_0316,420.7062011360119,19,2,0,2989,37,0,0,credit_card,0,0
USR_0317,20.603269223130233,17,5,0,1166,16,1,0,bank_transfer,0,0
USR_0318,124.24217877286242,16,2,0,826,3,5,0,credit_card,0,1
USR_0319,381.0797417140889,6,5,0,3120,38,1,0,bank_transfer,0,0
USR_0320,297.1941625900862,8,7,0,623,43,0,0,mobile_payment,0,0
USR_0321,393.54049807649403,17,8,0,1387,39,1,0,credit_card,0,0
USR_0322,375.6137468751261,14,1,0,466,36,1,0,mobile_payment,0,0
USR_0323,34.794679689684315,7,5,1,391,34,1,0,credit_card,0,0
USR_0324,447.33059535613427,19,2,1,1199,8,8,0,credit_card,0,1
USR_0325,1398.7772605005644,3,41,1,52,49,0,0,bank_transfer,1,0
USR_0326,281.16229571258424,8,3,0,2444,32,1,0,bank_transfer,0,0
USR_0327,325.7011966986116,17,4,0,1028,38,0,0,bank_transfer,0,0
USR_0328,92.62782333369674,17,9,0,2209,20,0,1,bank_transfer,0,0
USR_0329,488.35331578347746,12,5,0,1688,13,1,0,credit_card,0,0
USR_0330,249.1964184827814,6,7,0,514,45,1,1,bank_transfer,0,0
USR_0331,38.244920842722784,8,1,0,1066,40,0,0,credit_card,0,0
USR_0332,469.25840194114176,16,3,0,1877,19,0,0,bank_transfer,0,0
USR_0333,297.27124316470133,18,3,0,351,25,1,0,credit_card,0,0
USR_0334,352.60466701087444,15,5,0,1054,39,1,0,mobile_payment,0,0
USR_0335,267.3361370677698,9,3,0,2746,6,4,1,bank_transfer,0,1
USR_0336,419.0215978407141,10,4,0,1510,8,7,1,bank_transfer,0,1
USR_0337,26.235396474673337,16,4,0,2380,14,0,0,bank_transfer,0,0
USR_0338,141.5053989858024,14,7,0,666,12,1,0,bank_transfer,0,0
USR_0339,240.12769463731917,18,3,0,1953,4,7,1,bank_transfer,0,1
USR_0340,47.53577199371792,22,5,0,2207,13,0,0,mobile_payment,0,0
USR_0341,355.8942679700625,20,6,0,590,7,7,1,credit_card,0,1
USR_0342,202.89507288726398,18,7,0,1624,9,9,1,credit_card,0,1
USR_0343,143.60731523139057,16,8,0,2538,30,0,0,bank_transfer,0,0
USR_0344,11.655634936122013,6,9,0,2714,19,0,0,mobile_payment,0,0
USR_0345,362.71685275747734,13,7,0,679,6,9,0,bank_transfer,0,1
USR_0346,418.56656134770225,10,3,0,747,26,1,0,bank_transfer,0,0
USR_0347,203.56986248393423,21,3,0,2319,25,1,0,bank_transfer,0,0
USR_0348,286.4668087463491,9,9,0,1877,48,1,0,bank_transfer,0,0
USR_0349,121.56644670550322,7,4,0,848,15,1,0,credit_card,0,0
USR_0350,314.87684667726523,18,2,0,2720,39,0,0,bank_transfer,0,0
USR_0351,15.947354574448255,21,1,0,1891,24,0,0,bank_transfer,0,0
USR_0352,249.43550957839165,13,1,0,3323,4,3,0,bank_transfer,0,1
USR_0353,325.66068610193923,8,8,1,1280,39,0,0,bank_transfer,0,0
USR_0354,459.91396888256963,22,7,0,225,46,1,0,mobile_payment,0,0
